,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWE,2023-05-18T14:17:29-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-18T14:17:29-04:00,11.1,185,P57,4.6,242, ,41º 20.388 N,71º 23.849 W,2.0,179,6.1,0.1,194,1027.2,49.3,0.0,0.0,19.6
2023-05-18T16:14:20-04:00,11.8,205,S55,4.6,151, ,41º 16.251 N,71º 34.426 W,2.0,186,5.0,0.0,355,1027.0,50.2,0.0,0.0,18.1
2023-05-18T16:57:35-04:00,10.5,196,S58,4.5,138, ,41º 13.360 N,71º 32.251 W,2.2,187,5.0,0.0,205,1027.0,50.4,0.0,0.0,18.0
2023-05-18T19:54:59-04:00,12.5,185,P56,5.2,241, ,41º 03.364 N,71º 20.321 W,2.3,186,5.4,0.1,188,1027.8,51.3,0.0,0.0,16.2
2023-05-18T22:05:08-04:00,12.5,180,P61,5.3,241, ,40º 57.940 N,71º 33.436 W,2.3,182,5.1,0.0,301,1029.0,52.2,0.0,0.0,14.6
2023-05-19T00:11:52-04:00,11.6,181,P81,7.2,261, ,40º 52.517 N,71º 46.551 W,2.3,176,4.9,0.1,53,1029.2,52.7,0.0,0.0,14.2
2023-05-19T01:54:11-04:00,12.5,178,P84,8.0,261, ,40º 50.662 N,72º 02.500 W,2.3,170,4.7,0.1,59,1028.7,53.1,0.0,0.0,14.6
2023-05-19T04:50:42-04:00,13.9,183,P83,8.3,266, ,40º 46.950 N,72º 34.397 W,2.5,162,4.3,0.0,19,1028.8,53.6,0.0,0.0,13.9
2023-05-19T05:30:41-04:00,13.1,182,P64,5.9,245, ,40º 46.548 N,72º 41.673 W,2.5,162,4.3,0.2,69,1028.9,53.1,0.0,0.0,13.6
2023-05-19T08:28:15-04:00,13.2,174,P85,9.6,259, ,40º 38.715 N,73º 04.627 W,2.9,160,4.3,,,1029.4,55.8,0.0,0.0,16.5
2023-05-19T09:21:04-04:00,15.1,169,P95,9.7,264, ,40º 37.031 N,73º 15.576 W,2.8,157,4.4,,,1029.4,56.2,0.0,0.0,15.5
2023-05-19T09:44:45-04:00,15.5,169,S151,6.4,18, ,40º 36.619 N,73º 20.583 W,2.7,157,4.4,,,1029.3,56.4,0.0,0.0,15.5
2023-05-19T09:56:07-04:00,15.0,169,P29,2.9,198, ,40º 37.770 N,73º 20.092 W,2.6,157,4.4,,,1029.4,56.8,0.0,0.0,15.0
2023-05-19T10:20:50-04:00,15.8,168,S65,6.5,103, ,40º 36.619 N,73º 20.583 W,2.6,157,4.4,,,1029.4,56.5,0.0,0.0,15.8
2023-05-19T12:16:33-04:00,15.3,163,S60,5.9,103, ,40º 33.886 N,73º 04.558 W,2.9,156,4.5,0.2,68,1029.0,56.2,0.0,0.0,15.4
