,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWE,2023-05-18T14:15:42-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-18T14:15:42-04:00,11.0,185,P59,4.7,244, ,41º 20.388 N,71º 23.849 W,2.0,179,6.1,0.1,194,1027.2,49.3,0.0,0.0,19.6
2023-05-18T16:02:41-04:00,11.8,208,S70,5.1,136, ,41º 16.682 N,71º 33.958 W,2.0,185,5.1,0.0,23,1027.0,50.1,0.0,0.0,18.2
2023-05-18T19:37:20-04:00,12.5,186,P55,5.2,241, ,41º 03.934 N,71º 18.941 W,2.3,186,5.4,0.1,185,1027.7,51.2,0.0,0.0,16.2
2023-05-18T21:55:28-04:00,12.5,181,P61,5.3,241, ,40º 58.226 N,71º 32.746 W,2.3,182,5.2,0.0,286,1028.9,52.2,0.0,0.0,14.7
2023-05-19T00:09:45-04:00,11.6,181,P81,7.2,261, ,40º 52.517 N,71º 46.551 W,2.3,176,4.9,0.1,53,1029.2,52.7,0.0,0.0,14.2
2023-05-19T01:52:09-04:00,12.4,177,P84,8.0,261, ,40º 50.662 N,72º 02.500 W,2.3,170,4.7,0.1,59,1028.7,53.1,0.0,0.0,14.6
2023-05-19T04:48:46-04:00,13.9,183,P83,8.3,266, ,40º 46.950 N,72º 34.397 W,2.5,162,4.3,0.0,19,1028.8,53.6,0.0,0.0,13.9
2023-05-19T05:28:41-04:00,13.1,182,P63,6.0,244, ,40º 46.548 N,72º 41.673 W,2.5,162,4.3,0.2,69,1028.9,53.1,0.0,0.0,13.6
2023-05-19T07:37:02-04:00,14.1,172,P77,7.7,249, ,40º 40.989 N,72º 56.835 W,2.6,162,4.2,0.2,62,1029.4,55.2,0.0,0.0,15.6
2023-05-19T08:26:18-04:00,13.2,174,P85,9.6,259, ,40º 38.715 N,73º 04.627 W,2.9,160,4.3,,,1029.4,55.8,0.0,0.0,16.5
2023-05-19T09:19:09-04:00,15.1,169,P95,9.7,264, ,40º 37.031 N,73º 15.576 W,2.8,157,4.4,,,1029.4,56.2,0.0,0.0,15.6
2023-05-19T09:42:50-04:00,15.5,169,S151,6.4,18, ,40º 36.619 N,73º 20.583 W,2.7,157,4.4,,,1029.3,56.4,0.0,0.0,15.5
2023-05-19T09:54:13-04:00,14.9,169,P29,2.9,198, ,40º 37.770 N,73º 20.092 W,2.6,157,4.4,,,1029.4,56.8,0.0,0.0,14.9
2023-05-19T10:18:58-04:00,15.8,168,S65,6.5,103, ,40º 36.619 N,73º 20.583 W,2.6,157,4.4,,,1029.4,56.5,0.0,0.0,15.8
2023-05-19T12:14:37-04:00,15.3,163,S60,5.9,103, ,40º 33.886 N,73º 04.558 W,2.9,156,4.5,0.2,68,1029.0,56.2,0.0,0.0,15.4
2023-05-19T14:20:55-04:00,13.3,163,S61,5.7,103, ,40º 31.153 N,72º 48.532 W,2.8,154,4.5,0.1,12,1028.2,56.2,0.0,0.0,15.9
2023-05-19T16:31:20-04:00,13.0,165,S62,5.2,103, ,40º 28.419 N,72º 32.507 W,2.7,152,4.5,0.1,326,1027.2,56.4,0.0,0.0,14.0
2023-05-19T18:56:17-04:00,13.6,155,P52,5.1,207, ,40º 25.686 N,72º 16.481 W,2.6,148,4.9,0.1,353,1026.5,57.1,0.0,0.0,13.6
2023-05-19T20:57:03-04:00,13.9,147,P60,5.6,207, ,40º 16.486 N,72º 22.684 W,2.9,144,5.3,0.1,312,1026.0,57.8,0.0,0.0,14.2
